id,node_type,wiki_url
All Religions are One,expanded,https://en.wikipedia.org/wiki/All_Religions_are_One
Allen Ginsberg,expanded,https://en.wikipedia.org/wiki/Allen_Ginsberg
Alma mater,expanded,https://en.wikipedia.org/wiki/Alma_mater
Almeida Garrett,expanded,https://en.wikipedia.org/wiki/Almeida_Garrett
Aloysius Bertrand,expanded,https://en.wikipedia.org/wiki/Aloysius_Bertrand
Alphonse de Lamartine,expanded,https://en.wikipedia.org/wiki/Alphonse_de_Lamartine
Alvin Plantinga,expanded,https://en.wikipedia.org/wiki/Alvin_Plantinga
Amazon River,expanded,https://en.wikipedia.org/wiki/Amazon_River
America a Prophecy,expanded,https://en.wikipedia.org/wiki/America_a_Prophecy
American Anti-Imperialist League,expanded,https://en.wikipedia.org/wiki/American_Anti-Imperialist_League
American Civil War,expanded,https://en.wikipedia.org/wiki/American_Civil_War
American Psychological Association,expanded,https://en.wikipedia.org/wiki/American_Psychological_Association
American Psychologist,expanded,https://en.wikipedia.org/wiki/American_Psychologist
American Revolution,expanded,https://en.wikipedia.org/wiki/American_Revolution
American Society for Psychical Research,expanded,https://en.wikipedia.org/wiki/American_Society_for_Psychical_Research
American philosophy,expanded,https://en.wikipedia.org/wiki/American_philosophy
Amos Tversky,expanded,https://en.wikipedia.org/wiki/Amos_Tversky
Amy Beach,expanded,https://en.wikipedia.org/wiki/Amy_Beach
An Island in the Moon,expanded,https://en.wikipedia.org/wiki/An_Island_in_the_Moon
Anamorphosis,expanded,https://en.wikipedia.org/wiki/Anamorphosis
Anatoly Fomenko,expanded,https://en.wikipedia.org/wiki/Anatoly_Fomenko
Anatomy,expanded,https://en.wikipedia.org/wiki/Anatomy
Ancient Greece,expanded,https://en.wikipedia.org/wiki/Ancient_Greece
Ancient Greek philosophy,expanded,https://en.wikipedia.org/wiki/Ancient_Greek_philosophy
Ancient of Days,expanded,https://en.wikipedia.org/wiki/Ancient_of_Days
Ancients (art group),expanded,https://en.wikipedia.org/wiki/Ancients_%28art_group%29
And did those feet in ancient time,expanded,https://en.wikipedia.org/wiki/And_did_those_feet_in_ancient_time
Andrea Palladio,expanded,https://en.wikipedia.org/wiki/Andrea_Palladio
